Device: cpu
ESM dims = 1280
Dropped rows with missing ESM: 4382 -> 4382
Data ready: 3535 rows | 222 curves | 198 species

=== UDE core model -- UTPC + constrained residual | full training ===
  [Alt4 theta] Ep 05 | total 0.04265  (data 0.03926 | reg 0.00000 | mono 0.00000 | tail 0.06767)
  [Alt4 theta] Ep 06 | total 0.04309  (data 0.03945 | reg 0.00000 | mono 0.00000 | tail 0.07287)
  [Alt4 theta] Ep 07 | total 0.04313  (data 0.03947 | reg 0.00000 | mono 0.00000 | tail 0.07328)
  [Alt4 theta] Ep 08 | total 0.04279  (data 0.03930 | reg 0.00000 | mono 0.00000 | tail 0.06984)
  [Alt4 resid] Ep 01 | total 0.04239  (data 0.03903 | reg 0.00000 | mono 0.00000 | tail 0.06718)
  [Alt4 resid] Ep 02 | total 0.04253  (data 0.03919 | reg 0.00000 | mono 0.00000 | tail 0.06672)
  [Alt4 resid] Ep 03 | total 0.04300  (data 0.03965 | reg 0.00000 | mono 0.00000 | tail 0.06696)
  [Alt4 resid] Ep 04 | total 0.04234  (data 0.03900 | reg 0.00000 | mono 0.00000 | tail 0.06676)
  [Alt4 resid] Ep 05 | total 0.04291  (data 0.03954 | reg 0.00000 | mono 0.00000 | tail 0.06741)
  [Alt4 resid] Ep 06 | total 0.04254  (data 0.03916 | reg 0.00000 | mono 0.00000 | tail 0.06763)
  [Alt4 resid] Ep 07 | total 0.04281  (data 0.03945 | reg 0.00000 | mono 0.00000 | tail 0.06719)
  [Alt4 resid] Ep 08 | total 0.04254  (data 0.03924 | reg 0.00000 | mono 0.00000 | tail 0.06612)
  [Joint] Ep 01 | total 0.04312  (data 0.03961 | reg 0.00000 | mono 0.00000 | tail 0.07019)
  [Joint] Ep 02 | total 0.04299  (data 0.03950 | reg 0.00000 | mono 0.00000 | tail 0.06981)
  [Joint] Ep 03 | total 0.04294  (data 0.03942 | reg 0.00000 | mono 0.00000 | tail 0.07030)
  [Joint] Ep 04 | total 0.04287  (data 0.03936 | reg 0.00000 | mono 0.00000 | tail 0.07025)
